Time,Material,Length,Width,X,Y,Z,Resultant,Output
,,,,,,,,
15:47:05,CRC,10.7,9.2,148,-3.46,21.14,149.54,NON-RUSTED
15:47:06,CRC,10.7,9.2,141.25,-3.76,24.04,143.33,NON-RUSTED
15:47:06,CRC,10.7,9.2,143.35,-3.91,24.04,145.41,NON-RUSTED
15:47:07,CRC,10.7,9.2,145.6,-3.46,23.8,147.57,NON-RUSTED
15:47:07,CRC,10.7,9.2,145.15,-2.86,24.04,147.16,NON-RUSTED
15:47:07,CRC,10.7,9.2,145.15,-3.31,23.8,147.13,NON-RUSTED
15:47:08,CRC,10.7,9.2,144.85,-3.31,24.52,146.95,NON-RUSTED
15:47:08,CRC,10.7,9.2,144.85,-3.16,24.52,146.95,NON-RUSTED
15:47:09,CRC,10.7,9.2,144.7,-2.71,23.8,146.67,NON-RUSTED
15:47:09,CRC,10.7,9.2,144.55,-3.31,23.56,146.5,NON-RUSTED
15:47:09,CRC,10.7,9.2,144.85,-2.86,23.8,146.82,NON-RUSTED
15:47:10,CRC,10.7,9.2,145.45,-3.16,24.28,147.5,NON-RUSTED
15:47:10,CRC,10.7,9.2,145,-2.86,24.28,147.05,NON-RUSTED
15:47:11,CRC,10.7,9.2,145.15,-3.16,24.52,147.24,NON-RUSTED
15:47:11,CRC,10.7,9.2,149.8,0.44,26.94,152.21,NON-RUSTED
15:47:12,CRC,10.7,9.2,146.95,0.29,25.98,149.23,NON-RUSTED
15:47:12,CRC,10.7,9.2,140.8,1.64,20.65,142.32,NON-RUSTED
15:47:12,CRC,10.7,9.2,155.05,1.94,20.17,156.37,NON-RUSTED
15:47:13,CRC,10.7,9.2,145.15,1.19,23.56,147.06,NON-RUSTED
15:47:13,CRC,10.7,9.2,145.45,1.04,24.04,147.43,NON-RUSTED
15:47:14,CRC,10.7,9.2,144.4,1.49,23.8,146.36,NON-RUSTED
15:47:14,CRC,10.7,9.2,144.25,0.89,24.04,146.24,NON-RUSTED
15:47:14,CRC,10.7,9.2,143.95,1.19,24.28,145.99,NON-RUSTED
15:47:15,CRC,10.7,9.2,144.25,1.04,23.8,146.21,NON-RUSTED
15:47:15,CRC,10.7,9.2,145.15,1.49,23.56,147.06,NON-RUSTED
15:47:16,CRC,10.7,9.2,146.35,1.19,22.83,148.13,NON-RUSTED
15:47:16,CRC,10.7,9.2,146.05,1.34,23.8,147.98,NON-RUSTED
15:47:16,CRC,10.7,9.2,145.9,1.34,23.56,147.8,NON-RUSTED
15:47:17,CRC,10.7,9.2,145.9,0.74,24.04,147.87,NON-RUSTED
15:47:17,CRC,10.7,9.2,145.6,1.34,23.56,147.5,NON-RUSTED
15:47:18,CRC,10.7,9.2,145.6,1.34,23.56,147.5,NON-RUSTED
15:47:18,CRC,10.7,9.2,145.45,1.79,24.04,147.44,NON-RUSTED
